Country,Required/Recommend Vaccines
Afghanistan,"Routine Vaccines, Covid-19, Hepatitis A, Typhoid, Polio, Meningococcal, Yellow Fever"
Albania,"Routine Vaccines, Covid-19, Hepatitis A, Typhoid, Rabies, MMR, Influenza"
Algeria,"Routine Vaccines, Covid-19, Hepatitis A, Typhoid, Rabies, Meningococcal, Yellow Fever"
American Samoa,"Routine Vaccines, Covid-19, MMR, Diphteria-tetanus-pertussis, Varicella, Polio"
Andorra,"Routine Vaccines, Covid-19, Hepatitis A & B, Measles, Rabies, Typhoid"
Angola,"Routine Vaccines, Covid-19, Cholera, Hepatitis A & B, Malaria, Yellow Fever, Typhoid, Rabies"
Anguilla,"Routine Vaccines, Covid-19, Hepatitis A & B, Measles, Rabies, Typhoid"
Antigua and Barbuda,"Routine Vaccines, Covid-19, Hepatitis A & B, Measles, Rabies, Typhoid, Yellow Fever"
Argentina,"Routine Vaccines, Covid-19, Hepatitis A & B, Measles, Rabies, Typhoid, Yellow Fever"
Armenia,"Routine Vaccines, Covid-19, Hepatitis A & B, Measles, Rabies"
Aruba,"Routine Vaccines, Covid-19, Hepatitis A & B, Measles, Rabies, Typhoid, Yellow Fever"
Australia,"Routine Vaccines, Covid-19, Hepatitis B, Japanese Encephalitis, Measles, Rabies, Yellow Fever"
Austria,"Routine Vaccines, Covid-19, Hepatitis B, Measle, Rabies, Tick-borne Encephalitis "
Azerbaijan,"Routine Vaccines, Covid-19, Hepatitis A and B, Measles, Rabies"
Bahamas,"Routine Vaccines, Covid-19, Hepatitis A & B, Measles, Rabies, Typhoid, Yellow Fever"
Bahrain,"Routine Vaccines, Covid-19, Hepatitis A & B, Measles, Rabies, Typhoid, Yellow Fever"
Bangladesh,"Routine Vaccines, Covid-19, "
Barbados,"Routine Vaccines, Covid-19, "
Belarus,"Routine Vaccines, Covid-19, "
Belgium,"Routine Vaccines, Covid-19, "
Belize,"Routine Vaccines, Covid-19, "
Benin,"Routine Vaccines, Covid-19, "
Bermuda,"Routine Vaccines, Covid-19, "
Bhutan,"Routine Vaccines, Covid-19, "
Bolivia,"Routine Vaccines, Covid-19, "
Bonaire,"Routine Vaccines, Covid-19, "
